Config_FD,Modello,Rumore_%,Accuracy,Accuracy_sd,F1_weighted,F1_weighted_sd,F1_macro,IM,IP,IH,Righe_train_sporcate
C4,Logistic Regression,5,0.9049,0.004,0.9046,0.0041,0.9046,428490.3333,44513.3333,2304.0,2225.0
C4,Logistic Regression,10,0.8645,0.0014,0.8639,0.0015,0.8639,832425.0,44513.3333,4591.6667,4451.0
C4,Logistic Regression,15,0.8286,0.0025,0.8278,0.0024,0.8278,1211989.6667,44513.3333,6879.0,6676.3333
C4,Logistic Regression,20,0.7988,0.003,0.7976,0.003,0.7976,1591006.3333,44513.3333,9180.3333,8902.0
C4,Logistic Regression,25,0.7702,0.0025,0.7687,0.0024,0.7687,1906340.3333,44513.3333,11448.3333,11128.0
C4,Logistic Regression,30,0.7498,0.0006,0.7478,0.0005,0.7478,2240020.0,44513.3333,13775.3333,13353.3333
C4,Logistic Regression,35,0.7292,0.0049,0.7261,0.0051,0.7261,2552121.0,44513.3333,16026.0,15579.0
C4,Logistic Regression,40,0.7103,0.0014,0.7067,0.0011,0.7067,2826211.6667,44513.3333,18369.0,17805.0
C4,Neural Network,0,0.9712,0.0018,0.9711,0.0018,0.9711,0.0,0.0,0.0,0.0
C4,Neural Network,5,0.9697,0.001,0.9697,0.001,0.9697,428490.3333,44513.3333,2304.0,2225.0
C4,Neural Network,10,0.9673,0.0019,0.9673,0.0019,0.9673,832425.0,44513.3333,4591.6667,4451.0
C4,Neural Network,15,0.9646,0.0014,0.9645,0.0014,0.9645,1211989.6667,44513.3333,6879.0,6676.3333
C4,Neural Network,20,0.9655,0.0013,0.9655,0.0013,0.9655,1591006.3333,44513.3333,9180.3333,8902.0
C4,Neural Network,25,0.962,0.0013,0.962,0.0013,0.962,1906340.3333,44513.3333,11448.3333,11128.0
C4,Neural Network,30,0.9599,0.0009,0.9598,0.0009,0.9598,2240020.0,44513.3333,13775.3333,13353.3333
C4,Neural Network,35,0.9579,0.0008,0.9579,0.0008,0.9579,2552121.0,44513.3333,16026.0,15579.0
C4,Neural Network,40,0.9539,0.0028,0.9538,0.0028,0.9538,2826211.6667,44513.3333,18369.0,17805.0
C4,Random Forest,0,0.9766,0.0007,0.9765,0.0008,0.9765,0.0,0.0,0.0,0.0
C4,Random Forest,5,0.9757,0.0003,0.9756,0.0003,0.9756,428490.3333,44513.3333,2304.0,2225.0
C4,Random Forest,10,0.975,0.0013,0.9749,0.0013,0.9749,832425.0,44513.3333,4591.6667,4451.0
C4,Random Forest,15,0.9733,0.0011,0.9732,0.0011,0.9732,1211989.6667,44513.3333,6879.0,6676.3333
C4,Random Forest,20,0.9726,0.0006,0.9725,0.0006,0.9725,1591006.3333,44513.3333,9180.3333,8902.0
C4,Random Forest,25,0.9713,0.0004,0.9712,0.0004,0.9712,1906340.3333,44513.3333,11448.3333,11128.0
C4,Random Forest,30,0.969,0.001,0.9689,0.001,0.9689,2240020.0,44513.3333,13775.3333,13353.3333
C4,Random Forest,35,0.9676,0.0017,0.9675,0.0017,0.9675,2552121.0,44513.3333,16026.0,15579.0
C4,Random Forest,40,0.966,0.001,0.966,0.001,0.966,2826211.6667,44513.3333,18369.0,17805.0
