N_FD,Regime,Modello,Valutazione,Metrica_Inconsistenza,N_punti,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
10,tutti i livelli,Random Forest,test_sporco,IM,30,-0.6831,3.187237655908933e-05,-0.6137,0.0003101256926636725
10,tutti i livelli,Random Forest,test_sporco,IP,30,-0.5762,0.0008603236304943394,-0.6474,0.00011031025175330423
10,tutti i livelli,Random Forest,test_sporco,IH,30,-0.7911,1.951606599483916e-07,-0.9756,5.477648932746812e-20
10,tutti i livelli,Random Forest,test_pulito,IM,30,-0.6485,0.0001064538715642885,-0.6076,0.0003694103636169009
10,tutti i livelli,Random Forest,test_pulito,IP,30,-0.5554,0.0014433740873968969,-0.6473,0.00011057019898609192
10,tutti i livelli,Random Forest,test_pulito,IH,30,-0.7607,1.068164947068643e-06,-0.9722,3.444193002801693e-19
10,dal picco di IM (20%) in poi,Decision Tree,test_sporco,IM,15,0.9602,1.409407913249536e-08,0.899,5.179045483439197e-06
10,dal picco di IM (20%) in poi,Decision Tree,test_sporco,IH,15,-0.8636,3.343096495154559e-05,-0.9517,4.881205676444207e-08
10,dal picco di IM (20%) in poi,Decision Tree,test_pulito,IM,15,0.8799,1.5204025773818457e-05,0.8679,2.751806395512921e-05
10,dal picco di IM (20%) in poi,Decision Tree,test_pulito,IH,15,-0.7796,0.0006107879044929181,-0.8686,2.6536323144025384e-05
10,dal picco di IM (20%) in poi,Logistic Regression,test_sporco,IM,15,0.9268,6.864526617700671e-07,0.8536,5.1731435667097704e-05
10,dal picco di IM (20%) in poi,Logistic Regression,test_sporco,IH,15,-0.8698,2.5085717557404657e-05,-0.8061,0.0002844986359517555
10,dal picco di IM (20%) in poi,Logistic Regression,test_pulito,IM,15,0.9536,3.7889839145501886e-08,0.8607,3.805525022664778e-05
10,dal picco di IM (20%) in poi,Logistic Regression,test_pulito,IH,15,-0.878,1.6825340173850384e-05,-0.8651,3.131288519988173e-05
10,dal picco di IM (20%) in poi,Neural Network,test_sporco,IM,15,0.9856,2.0024886113970805e-11,0.8937,7.15333054621877e-06
10,dal picco di IM (20%) in poi,Neural Network,test_sporco,IH,15,-0.9173,1.4809340843440324e-06,-0.9007,4.658041945403572e-06
10,dal picco di IM (20%) in poi,Neural Network,test_pulito,IM,15,0.9818,9.137493596818111e-11,0.8714,2.3236477821632632e-05
10,dal picco di IM (20%) in poi,Neural Network,test_pulito,IH,15,-0.8596,3.9918922127790175e-05,-0.8847,1.1819879040035737e-05
10,dal picco di IM (20%) in poi,Random Forest,test_sporco,IM,15,0.9829,6.193658719354064e-11,0.8597,3.979716121893136e-05
10,dal picco di IM (20%) in poi,Random Forest,test_sporco,IH,15,-0.8864,1.076256337048714e-05,-0.8766,1.805797492584714e-05
10,dal picco di IM (20%) in poi,Random Forest,test_pulito,IM,15,0.9683,3.269494230759318e-09,0.8464,6.923823609737214e-05
10,dal picco di IM (20%) in poi,Random Forest,test_pulito,IH,15,-0.8679,2.746438577202284e-05,-0.899,5.179045483439236e-06
