Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
10,2,102,Random Forest,693,852,248,0.9017,0.9021,0.9017,0.9017,0.0066,0.0065,0.9276,0.9275,0.9276,0.9273,0.0031,0.003,0.0964
10,2,102,Decision Tree,693,852,248,0.904,0.9041,0.904,0.9038,0.0068,0.0068,0.9198,0.9199,0.9198,0.9196,0.0055,0.0055,0.0964
10,2,102,Neural Network,693,852,248,0.8577,0.8584,0.8577,0.8578,0.0049,0.0046,0.9063,0.9062,0.9063,0.9061,0.0035,0.0035,0.0964
10,3,103,Logistic Regression,934,1061,271,0.8792,0.879,0.8792,0.8789,0.0074,0.0075,0.9014,0.901,0.9014,0.9008,0.0079,0.0079,0.0977
10,3,103,Random Forest,934,1061,271,0.9037,0.9041,0.9037,0.9037,0.0046,0.0045,0.9303,0.9304,0.9303,0.93,0.0015,0.0016,0.0977
10,3,103,Decision Tree,934,1061,271,0.8978,0.8979,0.8978,0.8977,0.0052,0.0053,0.92,0.92,0.92,0.9199,0.0052,0.0053,0.0977
10,3,103,Neural Network,934,1061,271,0.8646,0.865,0.8646,0.8647,0.0081,0.0082,0.912,0.912,0.912,0.9118,0.0073,0.0074,0.0977
10,4,104,Logistic Regression,788,944,264,0.8779,0.8777,0.8779,0.8774,0.0097,0.0096,0.8996,0.8994,0.8996,0.899,0.0095,0.0096,0.0988
10,4,104,Random Forest,788,944,264,0.8969,0.8976,0.8969,0.897,0.0049,0.0049,0.9272,0.9273,0.9272,0.9269,0.0037,0.0037,0.0988
10,4,104,Decision Tree,788,944,264,0.9001,0.9001,0.9001,0.9,0.0078,0.0078,0.9206,0.9207,0.9206,0.9205,0.0074,0.0074,0.0988
10,4,104,Neural Network,788,944,264,0.8611,0.8615,0.8611,0.8609,0.0043,0.0043,0.909,0.9089,0.909,0.9087,0.006,0.0061,0.0988
20,0,100,Logistic Regression,1081,1424,478,0.8602,0.8599,0.8602,0.8599,0.0057,0.0056,0.8969,0.8965,0.8969,0.8963,0.0104,0.0103,0.2012
20,0,100,Random Forest,1081,1424,478,0.8817,0.8826,0.8817,0.8817,0.0059,0.0058,0.9267,0.9267,0.9267,0.9264,0.0026,0.0027,0.2012
20,0,100,Decision Tree,1081,1424,478,0.879,0.8792,0.879,0.879,0.0044,0.0045,0.9121,0.9122,0.9121,0.912,0.0076,0.0077,0.2012
20,0,100,Neural Network,1081,1424,478,0.819,0.8196,0.819,0.819,0.0024,0.0026,0.9032,0.9033,0.9032,0.9029,0.0037,0.004,0.2012
20,1,101,Logistic Regression,1619,1969,613,0.852,0.852,0.852,0.8518,0.0097,0.0095,0.8918,0.8916,0.8918,0.8914,0.0099,0.0096,0.1985
20,1,101,Random Forest,1619,1969,613,0.8828,0.8833,0.8828,0.8829,0.0056,0.0055,0.9235,0.9234,0.9235,0.9232,0.0046,0.0045,0.1985
20,1,101,Decision Tree,1619,1969,613,0.8803,0.8809,0.8803,0.8805,0.0071,0.0072,0.913,0.913,0.913,0.9129,0.0072,0.0073,0.1985
20,1,101,Neural Network,1619,1969,613,0.8142,0.8142,0.8142,0.814,0.0073,0.0071,0.901,0.901,0.901,0.9008,0.0037,0.0038,0.1985
20,2,102,Logistic Regression,1634,2028,623,0.8567,0.8565,0.8567,0.8564,0.008,0.008,0.8911,0.8905,0.8911,0.8905,0.0087,0.0088,0.196
