N_FD,Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
4,20,2,102,Random Forest,5104746,30000,24801,0.7735,0.7732,0.7735,0.773,0.0118,0.0112,0.903,0.9024,0.903,0.9022,0.0102,0.0104,0.5863
4,20,2,102,Decision Tree,5104746,30000,24801,0.6591,0.6602,0.6591,0.6593,0.0107,0.0112,0.8829,0.8822,0.8829,0.8824,0.0103,0.0104,0.5863
4,20,2,102,Neural Network,5104746,30000,24801,0.6583,0.6584,0.6583,0.658,0.0111,0.0109,0.8491,0.8488,0.8491,0.8486,0.0057,0.006,0.5863
4,20,3,103,Logistic Regression,5038122,30000,24720,0.5623,0.5603,0.5623,0.5609,0.0181,0.0181,0.692,0.6879,0.692,0.6888,0.0194,0.0195,0.5932
4,20,3,103,Random Forest,5038122,30000,24720,0.776,0.7765,0.776,0.7759,0.0064,0.0063,0.8984,0.8979,0.8984,0.8976,0.0074,0.0074,0.5932
4,20,3,103,Decision Tree,5038122,30000,24720,0.6556,0.6574,0.6556,0.6561,0.0186,0.0179,0.8836,0.8831,0.8836,0.8831,0.0078,0.0075,0.5932
4,20,3,103,Neural Network,5038122,30000,24720,0.666,0.6661,0.666,0.6657,0.0053,0.0053,0.8502,0.8496,0.8502,0.8495,0.0107,0.0107,0.5932
4,20,4,104,Logistic Regression,5065943,30000,24713,0.5607,0.559,0.5607,0.5594,0.0159,0.0167,0.6933,0.6892,0.6933,0.6905,0.0181,0.0178,0.5946
4,20,4,104,Random Forest,5065943,30000,24713,0.7728,0.7723,0.7728,0.7723,0.0096,0.0096,0.8983,0.8979,0.8983,0.8974,0.0075,0.0075,0.5946
4,20,4,104,Decision Tree,5065943,30000,24713,0.6601,0.6605,0.6601,0.6599,0.0165,0.0168,0.8791,0.8783,0.8791,0.8785,0.0174,0.0175,0.5946
4,20,4,104,Neural Network,5065943,30000,24713,0.6655,0.6646,0.6655,0.6648,0.0106,0.0115,0.8525,0.8522,0.8525,0.852,0.0067,0.0066,0.5946
1,30,0,100,Logistic Regression,151492,29889,13757,0.6514,0.6484,0.6514,0.6495,0.0216,0.0217,0.715,0.7116,0.715,0.7115,0.0152,0.0155,0.3016
1,30,0,100,Random Forest,151492,29889,13757,0.8957,0.8956,0.8957,0.8955,0.003,0.0031,0.9211,0.921,0.9211,0.9207,0.0058,0.0059,0.3016
1,30,0,100,Decision Tree,151492,29889,13757,0.7555,0.7567,0.7555,0.7557,0.0079,0.0078,0.8996,0.8995,0.8996,0.8993,0.0073,0.0072,0.3016
1,30,0,100,Neural Network,151492,29889,13757,0.8827,0.883,0.8827,0.8827,0.0063,0.0064,0.8977,0.8977,0.8977,0.8975,0.0093,0.0095,0.3016
1,30,1,101,Logistic Regression,148787,29954,13643,0.655,0.6524,0.655,0.6532,0.013,0.013,0.7176,0.7136,0.7176,0.7142,0.016,0.016,0.2991
1,30,1,101,Random Forest,148787,29954,13643,0.8953,0.8952,0.8953,0.8951,0.0081,0.0081,0.9201,0.92,0.9201,0.9197,0.0061,0.0061,0.2991
1,30,1,101,Decision Tree,148787,29954,13643,0.7544,0.7552,0.7544,0.7547,0.0094,0.0094,0.9004,0.9,0.9004,0.9,0.0076,0.0076,0.2991
1,30,1,101,Neural Network,148787,29954,13643,0.8831,0.8833,0.8831,0.883,0.0081,0.0081,0.8948,0.8951,0.8948,0.8947,0.0075,0.0076,0.2991
1,30,2,102,Logistic Regression,147711,30000,13657,0.6528,0.6505,0.6528,0.6513,0.0132,0.0124,0.723,0.7192,0.723,0.7196,0.0156,0.0156,0.2952
1,30,2,102,Random Forest,147711,30000,13657,0.8941,0.8938,0.8941,0.8937,0.0073,0.0072,0.9216,0.9214,0.9216,0.9212,0.0072,0.0072,0.2952
1,30,2,102,Decision Tree,147711,30000,13657,0.7591,0.7616,0.7591,0.76,0.0094,0.0096,0.8947,0.8945,0.8947,0.8944,0.0117,0.0118,0.2952
1,30,2,102,Neural Network,147711,30000,13657,0.8833,0.884,0.8833,0.8833,0.0103,0.0107,0.8964,0.8967,0.8964,0.8963,0.0104,0.0107,0.2952
1,30,3,103,Logistic Regression,150254,29953,13686,0.6508,0.6477,0.6508,0.6487,0.0147,0.015,0.7177,0.7144,0.7177,0.7144,0.0124,0.0126,0.2952
1,30,3,103,Random Forest,150254,29953,13686,0.8934,0.8936,0.8934,0.8932,0.0023,0.0021,0.92,0.9201,0.92,0.9197,0.0058,0.0058,0.2952
1,30,3,103,Decision Tree,150254,29953,13686,0.7522,0.7532,0.7522,0.7525,0.0108,0.0109,0.8998,0.8994,0.8998,0.8994,0.0028,0.0027,0.2952
1,30,3,103,Neural Network,150254,29953,13686,0.8858,0.8863,0.8858,0.8858,0.0106,0.0107,0.8965,0.8969,0.8965,0.8965,0.0112,0.0114,0.2952
1,30,4,104,Logistic Regression,148158,29884,13647,0.6512,0.6485,0.6512,0.6492,0.015,0.0156,0.7199,0.7167,0.7199,0.7166,0.0141,0.0147,0.3001
1,30,4,104,Random Forest,148158,29884,13647,0.8951,0.895,0.8951,0.8948,0.0061,0.006,0.9211,0.9209,0.9211,0.9207,0.0076,0.0077,0.3001
1,30,4,104,Decision Tree,148158,29884,13647,0.7465,0.747,0.7465,0.7465,0.0136,0.0134,0.8917,0.8916,0.8917,0.8914,0.0077,0.0078,0.3001
1,30,4,104,Neural Network,148158,29884,13647,0.8822,0.8824,0.8822,0.8821,0.0083,0.0086,0.896,0.8963,0.896,0.8959,0.0086,0.0088,0.3001
2,30,0,100,Logistic Regression,271482,30000,22328,0.585,0.5805,0.585,0.5821,0.0174,0.0179,0.6632,0.6565,0.6632,0.6581,0.0154,0.0162,0.5106
2,30,0,100,Random Forest,271482,30000,22328,0.8738,0.8733,0.8738,0.8733,0.0046,0.0049,0.9083,0.908,0.9083,0.9076,0.0069,0.0071,0.5106
2,30,0,100,Decision Tree,271482,30000,22328,0.6854,0.6876,0.6854,0.6858,0.0129,0.0127,0.8707,0.8703,0.8707,0.8701,0.0089,0.009,0.5106
2,30,0,100,Neural Network,271482,30000,22328,0.8452,0.8452,0.8452,0.845,0.0117,0.0114,0.878,0.8777,0.878,0.8776,0.0117,0.0118,0.5106
2,30,1,101,Logistic Regression,268959,30000,22160,0.5831,0.5788,0.5831,0.5803,0.0157,0.0158,0.6711,0.6656,0.6711,0.6671,0.0195,0.0197,0.5108
2,30,1,101,Random Forest,268959,30000,22160,0.8702,0.8701,0.8702,0.8697,0.0032,0.0031,0.9043,0.9041,0.9043,0.9037,0.008,0.0079,0.5108
2,30,1,101,Decision Tree,268959,30000,22160,0.6687,0.6686,0.6687,0.6685,0.0081,0.008,0.8664,0.8661,0.8664,0.8659,0.0098,0.0096,0.5108
2,30,1,101,Neural Network,268959,30000,22160,0.8408,0.8407,0.8408,0.8405,0.0078,0.0076,0.8775,0.8774,0.8775,0.8771,0.0058,0.0061,0.5108
2,30,2,102,Logistic Regression,270423,30000,22263,0.5828,0.5795,0.5828,0.5807,0.0162,0.0161,0.6712,0.6642,0.6712,0.6661,0.0177,0.0184,0.507
2,30,2,102,Random Forest,270423,30000,22263,0.8696,0.8692,0.8696,0.869,0.0078,0.0077,0.9033,0.903,0.9033,0.9027,0.009,0.0092,0.507
2,30,2,102,Decision Tree,270423,30000,22263,0.6774,0.6789,0.6774,0.6776,0.0137,0.0129,0.871,0.8706,0.871,0.8705,0.0114,0.0113,0.507
2,30,2,102,Neural Network,270423,30000,22263,0.8491,0.8489,0.8491,0.8487,0.0096,0.0097,0.8818,0.8815,0.8818,0.8813,0.0105,0.0109,0.507
2,30,3,103,Logistic Regression,274723,30000,22313,0.5837,0.58,0.5837,0.5812,0.0147,0.0148,0.675,0.6696,0.675,0.6712,0.015,0.0155,0.5041
