Configurazione,Rep,Seed,Modello,Colonne_sporcate,F1_test_pulito,F1_test_sporco,Quota_train_sporca
Concetto aeroporto di destinazione,1,101,Logistic Regression,7,0.9093,0.892,0.3991
Concetto aeroporto di destinazione,1,101,Random Forest,7,0.9236,0.9049,0.3991
Concetto aeroporto di destinazione,1,101,Decision Tree,7,0.9139,0.9036,0.3991
Concetto aeroporto di destinazione,1,101,Neural Network,7,0.8991,0.8483,0.3991
Concetto aeroporto di destinazione,2,102,Logistic Regression,7,0.9135,0.8942,0.3942
Concetto aeroporto di destinazione,2,102,Random Forest,7,0.9211,0.8999,0.3942
Concetto aeroporto di destinazione,2,102,Decision Tree,7,0.915,0.9016,0.3942
Concetto aeroporto di destinazione,2,102,Neural Network,7,0.9031,0.8474,0.3942
Concetto rotta e distanza,0,100,Logistic Regression,16,0.6892,0.5156,0.4005
Concetto rotta e distanza,0,100,Random Forest,16,0.9034,0.672,0.4005
Concetto rotta e distanza,0,100,Decision Tree,16,0.902,0.6325,0.4005
Concetto rotta e distanza,0,100,Neural Network,16,0.8633,0.6196,0.4005
Concetto rotta e distanza,1,101,Logistic Regression,16,0.686,0.5209,0.3991
Concetto rotta e distanza,1,101,Random Forest,16,0.9068,0.6695,0.3991
Concetto rotta e distanza,1,101,Decision Tree,16,0.8961,0.6352,0.3991
Concetto rotta e distanza,1,101,Neural Network,16,0.863,0.6187,0.3991
Concetto rotta e distanza,2,102,Logistic Regression,16,0.6972,0.5277,0.3942
Concetto rotta e distanza,2,102,Random Forest,16,0.9066,0.6718,0.3942
Concetto rotta e distanza,2,102,Decision Tree,16,0.8936,0.6368,0.3942
Concetto rotta e distanza,2,102,Neural Network,16,0.869,0.6235,0.3942
