Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
10,1,101,Neural Network,711,866,259,0.836,0.8361,0.836,0.8358,0.0092,0.0093,0.9002,0.9003,0.9002,0.9001,0.0042,0.0042,0.0962
10,2,102,Logistic Regression,693,852,248,0.7696,0.7691,0.7696,0.7688,0.0047,0.0042,0.8313,0.8304,0.8313,0.8304,0.0084,0.0084,0.0964
10,2,102,Random Forest,693,852,248,0.8627,0.8644,0.8627,0.8631,0.0044,0.0043,0.9279,0.9279,0.9279,0.9277,0.0028,0.0028,0.0964
10,2,102,Decision Tree,693,852,248,0.8452,0.8458,0.8452,0.8453,0.0072,0.0071,0.9157,0.9157,0.9157,0.9156,0.0062,0.0061,0.0964
10,2,102,Neural Network,693,852,248,0.8355,0.8359,0.8355,0.8353,0.005,0.0055,0.9048,0.905,0.9048,0.9047,0.006,0.0064,0.0964
10,3,103,Logistic Regression,934,1061,271,0.7797,0.7789,0.7797,0.779,0.0081,0.0082,0.8399,0.8388,0.8399,0.8388,0.0107,0.0109,0.0977
10,3,103,Random Forest,934,1061,271,0.8655,0.8669,0.8655,0.866,0.0029,0.0028,0.9298,0.9298,0.9298,0.9296,0.0049,0.0049,0.0977
10,3,103,Decision Tree,934,1061,271,0.8477,0.8481,0.8477,0.8478,0.0037,0.0036,0.9185,0.9184,0.9185,0.9184,0.0018,0.0019,0.0977
10,3,103,Neural Network,934,1061,271,0.8373,0.8376,0.8373,0.8371,0.01,0.01,0.9056,0.9056,0.9056,0.9053,0.009,0.009,0.0977
10,4,104,Logistic Regression,788,944,264,0.7745,0.7745,0.7745,0.7738,0.0135,0.0133,0.8356,0.8349,0.8356,0.8346,0.0159,0.0158,0.0988
10,4,104,Random Forest,788,944,264,0.86,0.8615,0.86,0.8603,0.0053,0.0051,0.9281,0.928,0.9281,0.9278,0.0052,0.0051,0.0988
10,4,104,Decision Tree,788,944,264,0.8439,0.8445,0.8439,0.8439,0.0126,0.0123,0.9142,0.9141,0.9142,0.914,0.0069,0.0069,0.0988
10,4,104,Neural Network,788,944,264,0.8368,0.8372,0.8368,0.8366,0.0074,0.0074,0.9054,0.9054,0.9054,0.9052,0.0082,0.0084,0.0988
20,0,100,Logistic Regression,1081,1424,478,0.6685,0.6683,0.6685,0.6678,0.0127,0.0126,0.7775,0.7761,0.7775,0.7763,0.011,0.011,0.2012
20,0,100,Random Forest,1081,1424,478,0.7994,0.8026,0.7994,0.8002,0.0061,0.0059,0.9255,0.9254,0.9255,0.9252,0.004,0.004,0.2012
20,0,100,Decision Tree,1081,1424,478,0.7778,0.7789,0.7778,0.778,0.0115,0.0115,0.9142,0.9142,0.9142,0.9141,0.0059,0.0059,0.2012
20,0,100,Neural Network,1081,1424,478,0.7585,0.7594,0.7585,0.7583,0.0052,0.0051,0.8946,0.8946,0.8946,0.8943,0.0044,0.0048,0.2012
20,1,101,Logistic Regression,1619,1969,613,0.6701,0.6696,0.6701,0.6692,0.0095,0.0095,0.7765,0.7752,0.7765,0.7753,0.0182,0.0183,0.1985
20,1,101,Random Forest,1619,1969,613,0.7999,0.8028,0.7999,0.8007,0.0044,0.0045,0.9216,0.9215,0.9216,0.9213,0.005,0.0049,0.1985
20,1,101,Decision Tree,1619,1969,613,0.7794,0.7796,0.7794,0.7793,0.0073,0.0075,0.912,0.9118,0.912,0.9118,0.006,0.0061,0.1985
20,1,101,Neural Network,1619,1969,613,0.7635,0.7641,0.7635,0.7635,0.014,0.0137,0.8958,0.896,0.8958,0.8957,0.0089,0.0087,0.1985
20,2,102,Logistic Regression,1634,2028,623,0.6802,0.6789,0.6802,0.6789,0.0119,0.0115,0.7875,0.786,0.7875,0.7861,0.0148,0.0147,0.196
20,2,102,Random Forest,1634,2028,623,0.7984,0.802,0.7984,0.7994,0.0093,0.0092,0.922,0.9219,0.922,0.9216,0.0037,0.0036,0.196
20,2,102,Decision Tree,1634,2028,623,0.7698,0.77,0.7698,0.7698,0.0046,0.0046,0.9106,0.9104,0.9106,0.9104,0.0048,0.0047,0.196
20,2,102,Neural Network,1634,2028,623,0.7653,0.7655,0.7653,0.765,0.0049,0.0045,0.8948,0.8949,0.8948,0.8945,0.0043,0.0044,0.196
20,3,103,Logistic Regression,1757,2107,625,0.6828,0.6815,0.6828,0.6813,0.0135,0.0137,0.7862,0.7842,0.7862,0.7845,0.0133,0.0135,0.1947
20,3,103,Random Forest,1757,2107,625,0.8007,0.8045,0.8007,0.8017,0.0047,0.0049,0.9234,0.9234,0.9234,0.9232,0.0042,0.0042,0.1947
20,3,103,Decision Tree,1757,2107,625,0.779,0.7793,0.779,0.7789,0.0065,0.0066,0.91,0.9099,0.91,0.9098,0.0057,0.0056,0.1947
20,3,103,Neural Network,1757,2107,625,0.7682,0.7683,0.7682,0.7679,0.0125,0.0131,0.8954,0.8954,0.8954,0.8952,0.0092,0.0093,0.1947
20,4,104,Logistic Regression,1610,1988,600,0.6706,0.6704,0.6706,0.67,0.0164,0.016,0.7796,0.7788,0.7796,0.7788,0.0148,0.0147,0.1979
20,4,104,Random Forest,1610,1988,600,0.7906,0.7947,0.7906,0.7917,0.0114,0.0114,0.9219,0.9218,0.9219,0.9216,0.0011,0.0011,0.1979
20,4,104,Decision Tree,1610,1988,600,0.7689,0.7696,0.7689,0.769,0.0111,0.011,0.9067,0.9066,0.9067,0.9065,0.0051,0.0055,0.1979
20,4,104,Neural Network,1610,1988,600,0.7582,0.7587,0.7582,0.7582,0.0098,0.0095,0.892,0.8924,0.892,0.8919,0.0071,0.0073,0.1979
30,0,100,Logistic Regression,2096,2732,977,0.5778,0.5766,0.5778,0.5767,0.0132,0.0133,0.7284,0.726,0.7284,0.7266,0.0104,0.0104,0.3016
30,0,100,Random Forest,2096,2732,977,0.7363,0.7381,0.7363,0.7367,0.009,0.0092,0.9161,0.9161,0.9161,0.9157,0.0072,0.0073,0.3016
30,0,100,Decision Tree,2096,2732,977,0.6979,0.6983,0.6979,0.6978,0.0157,0.0153,0.9031,0.9032,0.9031,0.9029,0.0132,0.0129,0.3016
30,0,100,Neural Network,2096,2732,977,0.6916,0.6918,0.6916,0.6915,0.0099,0.0096,0.885,0.8848,0.885,0.8848,0.0075,0.0079,0.3016
30,1,101,Logistic Regression,2287,2855,957,0.589,0.5873,0.589,0.5873,0.0179,0.0178,0.7256,0.7232,0.7256,0.7237,0.0161,0.0162,0.2991
30,1,101,Random Forest,2287,2855,957,0.7321,0.7358,0.7321,0.733,0.0098,0.0097,0.914,0.9139,0.914,0.9137,0.005,0.0049,0.2991
30,1,101,Decision Tree,2287,2855,957,0.7007,0.7015,0.7007,0.7008,0.0166,0.0165,0.9058,0.9056,0.9058,0.9056,0.005,0.0049,0.2991
30,1,101,Neural Network,2287,2855,957,0.6989,0.6989,0.6989,0.6985,0.0119,0.0119,0.8844,0.8843,0.8844,0.8841,0.0077,0.0079,0.2991
30,2,102,Logistic Regression,2367,2964,999,0.5897,0.5885,0.5897,0.5884,0.0171,0.0165,0.737,0.7344,0.737,0.7351,0.0176,0.018,0.2952
30,2,102,Random Forest,2367,2964,999,0.7345,0.7373,0.7345,0.7351,0.0092,0.0088,0.9133,0.9131,0.9133,0.9128,0.007,0.007,0.2952
30,2,102,Decision Tree,2367,2964,999,0.7091,0.7093,0.7091,0.7088,0.0047,0.0053,0.9053,0.9049,0.9053,0.9049,0.0086,0.0087,0.2952
30,2,102,Neural Network,2367,2964,999,0.6994,0.7,0.6994,0.6992,0.0096,0.0093,0.8869,0.8865,0.8869,0.8864,0.0059,0.0061,0.2952
30,3,103,Logistic Regression,2213,2831,989,0.5977,0.5958,0.5977,0.5961,0.0128,0.0129,0.7367,0.7338,0.7367,0.7347,0.0132,0.0135,0.2952
